Time,Sun May 17,Mon May 18,Tue May 12,Wed May 13,Thu May 14,Fri May 15,Sat May 16
"12:00 AM, -07:00 UTC",26.0,21.0,27.0,21.0,17.0,34.0,40.0
"01:00 AM, -07:00 UTC",25.0,20.0,21.0,14.0,19.0,24.0,23.0
"02:00 AM, -07:00 UTC",24.0,25.0,22.0,19.0,23.0,17.0,11.0
"03:00 AM, -07:00 UTC",26.0,29.0,30.0,32.0,28.0,16.0,16.0
"04:00 AM, -07:00 UTC",37.0,40.0,39.0,30.0,35.0,25.0,25.0
"05:00 AM, -07:00 UTC",33.0,39.0,33.0,44.0,40.0,36.0,34.0
"06:00 AM, -07:00 UTC",50.0,43.0,46.0,46.0,48.0,42.0,39.0
"07:00 AM, -07:00 UTC",58.0,47.0,55.0,54.0,53.0,44.0,44.0
"08:00 AM, -07:00 UTC",64.0,53.0,68.0,63.0,54.0,60.0,51.0
"09:00 AM, -07:00 UTC",66.0,66.0,59.0,70.0,65.0,57.0,54.0
"10:00 AM, -07:00 UTC",65.0,60.0,59.0,70.0,69.0,58.0,61.0
"11:00 AM, -07:00 UTC",68.0,62.0,64.0,72.0,63.0,58.0,55.0
"12:00 PM, -07:00 UTC",66.0,59.0,66.0,63.0,67.0,55.0,55.0
"01:00 PM, -07:00 UTC",67.0,65.0,56.0,68.0,57.0,59.0,58.0
"02:00 PM, -07:00 UTC",70.0,65.0,53.0,64.0,57.0,58.0,54.0
"03:00 PM, -07:00 UTC",72.0,69.0,60.0,76.0,62.0,52.0,68.0
"04:00 PM, -07:00 UTC",76.0,66.0,60.0,72.0,61.0,64.0,59.0
"05:00 PM, -07:00 UTC",64.0,61.0,57.0,63.0,66.0,61.0,60.0
"06:00 PM, -07:00 UTC",68.0,58.0,64.0,69.0,59.0,59.0,59.0
"07:00 PM, -07:00 UTC",65.0,68.0,62.0,60.0,61.0,60.0,65.0
"08:00 PM, -07:00 UTC",59.0,64.0,51.0,60.0,54.0,55.0,56.0
"09:00 PM, -07:00 UTC",60.0,51.0,53.0,58.0,51.0,39.0,54.0
"10:00 PM, -07:00 UTC",47.0,49.0,53.0,49.0,46.0,43.0,53.0
"11:00 PM, -07:00 UTC",26.0,35.0,35.0,39.0,33.0,48.0,32.0
