Action date,Post views,Unique visitors,Comments,Likes,Shares
5/24/2026,1,1,0,0,0
5/23/2026,1,1,0,0,0
5/22/2026,1,1,0,0,0
5/20/2026,1,1,0,0,0
5/19/2026,5,2,0,0,0
5/18/2026,4,3,0,0,0
5/17/2026,3,3,0,0,0
5/14/2026,1,1,0,0,0
5/13/2026,1,1,0,0,0
5/12/2026,7,5,0,0,0
5/11/2026,2,2,0,0,0
5/10/2026,1,1,0,0,0
5/9/2026,6,6,0,0,0
5/8/2026,1,1,0,0,0
5/6/2026,3,3,0,0,0
5/5/2026,3,3,0,0,0
5/4/2026,2,2,0,0,0
5/2/2026,3,3,0,0,0
5/1/2026,1,1,0,0,0
4/30/2026,2,2,0,0,0
4/29/2026,2,2,0,0,0
4/27/2026,3,3,0,0,0
4/26/2026,1,1,0,0,0
4/25/2026,2,2,0,0,0
