Date,"Views","Likes","Replies","Reposts","Quotes"
"May 25, 2026",,,,,
"May 24, 2026",,,,,
"May 23, 2026",,,,,
"May 22, 2026",,,,,
"May 21, 2026",0,0,0,0,0
"May 20, 2026",0,0,0,0,0
"May 19, 2026",,,,,
"May 18, 2026",0,0,0,0,0
"May 17, 2026",,,,,
"May 16, 2026",,,,,
"May 15, 2026",,,,,
"May 14, 2026",,,,,
"May 13, 2026",,,,,
"May 12, 2026",,,,,
"May 11, 2026",,,,,
"May 10, 2026",,,,,
"May 9, 2026",,,,,
"May 8, 2026",,,,,
"May 7, 2026",,,,,
"May 6, 2026",1,0,0,0,0
"May 5, 2026",2,0,0,0,0
"May 4, 2026",0,0,0,0,0
"May 3, 2026",1,0,0,0,0
"May 2, 2026",1,0,0,0,0
"May 1, 2026",,,,,
"April 30, 2026",,,,,
"April 29, 2026",,,,,
"April 28, 2026",2,1,0,0,0
"April 27, 2026",,,,,
"April 26, 2026",,,,,
"April 25, 2026",,,,,
"April 24, 2026",,,,,
"April 23, 2026",2,1,0,0,0
"April 22, 2026",,,,,
"April 21, 2026",3,1,0,0,0
"April 20, 2026",,,,,
"April 19, 2026",2,0,0,0,0
"April 18, 2026",1,1,0,0,0
"April 17, 2026",,,,,
"April 16, 2026",,,,,
"April 15, 2026",,,,,
"April 14, 2026",,,,,
"April 13, 2026",3,1,0,0,0
"April 12, 2026",,,,,
"April 11, 2026",1,1,0,0,0
"April 10, 2026",,,,,
"April 9, 2026",1,1,0,0,0
"April 8, 2026",2,2,0,0,0
"April 7, 2026",,,,,
"April 6, 2026",,,,,
"April 5, 2026",,,,,
"April 4, 2026",1,0,0,0,0
"April 3, 2026",2,1,0,0,0
"April 2, 2026",,,,,
"April 1, 2026",,,,,
"March 31, 2026",,,,,
"March 30, 2026",,,,,
"March 29, 2026",,,,,
"March 28, 2026",,,,,
"March 27, 2026",,,,,
"March 26, 2026",,,,,
"March 25, 2026",,,,,
"March 24, 2026",,,,,
"March 23, 2026",,,,,
"March 22, 2026",,,,,
"March 21, 2026",,,,,
"March 20, 2026",,,,,
"March 19, 2026",,,,,
"March 18, 2026",,,,,
"March 17, 2026",,,,,
"March 16, 2026",,,,,
"March 15, 2026",,,,,
"March 14, 2026",,,,,
"March 13, 2026",,,,,
"March 12, 2026",,,,,
"March 11, 2026",,,,,
"March 10, 2026",,,,,
"March 9, 2026",,,,,
"March 8, 2026",5,0,0,0,0
"March 7, 2026",,,,,
"March 6, 2026",,,,,
"March 5, 2026",,,,,
"March 4, 2026",,,,,
"March 3, 2026",,,,,
"March 2, 2026",,,,,
"March 1, 2026",,,,,
"February 28, 2026",,,,,
"February 27, 2026",,,,,
"February 26, 2026",,,,,
"February 25, 2026",,,,,
