Date,"Views","Reach","Reposts","Followers"
"May 25, 2026",0,0,0,366
"May 24, 2026",0,0,0,366
"May 23, 2026",12,0,0,366
"May 22, 2026",7,1,0,366
"May 21, 2026",0,0,0,367
"May 20, 2026",0,0,0,366
"May 19, 2026",0,0,0,366
"May 18, 2026",0,0,0,366
"May 17, 2026",10,0,0,366
"May 16, 2026",0,1,0,366
"May 15, 2026",0,0,0,366
"May 14, 2026",0,0,0,366
"May 13, 2026",0,0,0,366
"May 12, 2026",0,0,0,367
"May 11, 2026",1,0,0,367
"May 10, 2026",82,1,0,367
"May 9, 2026",10,1,0,367
"May 8, 2026",1,1,0,367
"May 7, 2026",0,1,0,367
"May 6, 2026",0,0,0,368
"May 5, 2026",2,0,0,374
"May 4, 2026",1,2,0,373
"May 3, 2026",5,1,0,373
"May 2, 2026",1,3,0,373
"May 1, 2026",14,1,0,373
"April 30, 2026",0,4,0,373
"April 29, 2026",4,0,0,373
"April 28, 2026",117,3,0,373
"April 27, 2026",0,1,0,373
"April 26, 2026",2,0,0,373
"April 25, 2026",5,1,0,373
"April 24, 2026",21,1,0,373
"April 23, 2026",0,7,0,373
"April 22, 2026",3,1,0,373
"April 21, 2026",4,2,0,373
"April 20, 2026",4,3,0,373
"April 19, 2026",12,2,0,373
"April 18, 2026",0,6,0,373
"April 17, 2026",1,0,0,373
"April 16, 2026",14,0,0,373
"April 15, 2026",7,6,0,373
"April 14, 2026",1,0,0,
"April 13, 2026",20,0,0,373
"April 12, 2026",71,16,0,373
"April 11, 2026",42,29,0,374
"April 10, 2026",12,0,0,374
"April 9, 2026",16,6,0,373
"April 8, 2026",0,7,0,372
"April 7, 2026",0,0,0,372
"April 6, 2026",0,0,0,373
"April 5, 2026",3,0,0,373
"April 4, 2026",13,2,0,373
"April 3, 2026",1,5,0,370
"April 2, 2026",0,0,0,373
"April 1, 2026",0,0,0,373
"March 31, 2026",0,0,0,373
"March 30, 2026",0,0,0,373
"March 29, 2026",0,0,0,373
"March 28, 2026",0,0,0,373
"March 27, 2026",0,0,0,373
"March 26, 2026",0,0,0,373
"March 25, 2026",0,0,0,373
"March 24, 2026",0,0,0,373
"March 23, 2026",0,0,0,373
"March 22, 2026",0,0,0,373
"March 21, 2026",0,0,0,373
"March 20, 2026",0,0,0,373
"March 19, 2026",13,0,,373
"March 18, 2026",0,1,,373
"March 17, 2026",0,0,,373
"March 16, 2026",0,0,0,373
"March 15, 2026",0,0,,373
"March 14, 2026",0,0,,373
"March 13, 2026",0,0,,373
"March 12, 2026",0,0,,373
"March 11, 2026",0,0,,373
"March 10, 2026",0,0,,373
"March 9, 2026",0,0,,373
"March 8, 2026",,0,,374
"March 7, 2026",0,0,,
"March 6, 2026",0,0,,374
"March 5, 2026",0,0,,374
"March 4, 2026",0,0,,375
"March 3, 2026",0,0,,375
"March 2, 2026",0,0,,376
"March 1, 2026",0,0,,375
"February 28, 2026",0,0,,375
"February 27, 2026",0,0,,373
"February 26, 2026",0,0,,373
"February 25, 2026",7,0,,373
